"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",126.150038294494,130.055721753742,130.055721753742,130.055721753742,132.899297633208,138.586736127501,138.586736127501,143.273599898443,143.273599898443,143.273599898443,143.273599898443,143.512467954075,144.863066016464,144.863066016464,144.863066016464,144.863066016464,144.863066016464,144.863066016464,144.863066016464,149.714163760189,149.714163760189,149.714163760189,149.714163760189,149.714163760189,150.847547975602,154.942695371807,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921,155.2399268921
"2",141.593579137465,141.593579137465,141.593579137465,141.593579137465,141.593579137465,141.593579137465,141.593579137465,142.503456519684,144.404540824937,144.404540824937,145.123413997004,145.839780574432,145.839780574432,147.708562014857,150.265332297888,150.265332297888,150.351583126467,150.351583126467,150.351583126467,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,152.098771191435,155.142553398153,155.142553398153,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179,157.663886088179
"3",128.314619601937,128.314619601937,128.314619601937,133.008992900839,133.008992900839,133.008992900839,133.937543378444,133.937543378444,141.979988312581,144.392427683342,144.392427683342,144.392427683342,144.392427683342,144.392427683342,144.392427683342,147.12576837372,147.12576837372,147.12576837372,147.12576837372,147.12576837372,149.024630963569,151.79816992837,151.79816992837,156.992051469395,157.445442294702,157.445442294702,157.445442294702,157.445442294702,157.445442294702,157.445442294702,159.971894193673,159.971894193673,159.971894193673,160.8631866863,160.8631866863,160.8631866863,164.137998914579,165.19492063229,165.19492063229,165.19492063229,165.19492063229,165.19492063229,165.19492063229,165.19492063229,165.507103841985,165.507103841985,165.507103841985,165.507103841985,165.507103841985,165.507103841985
"4",121.603353062877,121.603353062877,125.522374657914,130.68405702617,130.952316513285,134.868090014905,134.868090014905,135.885404579574,140.032539419364,140.032539419364,140.032539419364,144.282907237764,144.282907237764,144.282907237764,146.911121360259,146.911121360259,146.911121360259,146.911121360259,146.911121360259,146.911121360259,146.911121360259,147.457808307372,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,151.652905746363,153.606648657005,153.606648657005,153.606648657005,153.606648657005,153.606648657005,153.606648657005,153.606648657005,155.025881306268,155.025881306268
"5",127.050612503663,127.050612503663,135.635563749354,135.635563749354,135.635563749354,136.096791173098,136.096791173098,136.096791173098,136.096791173098,137.945487651974,137.945487651974,138.308083294891,138.308083294891,138.308083294891,138.308083294891,138.308083294891,138.816570106894,139.493296488887,139.493296488887,140.376183665823,142.471370381536,142.471370381536,142.471370381536,142.471370381536,142.471370381536,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,143.162065729033,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151,144.882301353151
"6",136.525869812351,136.525869812351,136.525869812351,136.525869812351,138.426477229223,138.426477229223,140.248922617407,147.98331558588,147.98331558588,147.98331558588,147.98331558588,147.98331558588,154.439812824596,154.439812824596,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556,158.4643255556
"7",128.297494051279,134.267798612593,140.019854401704,141.881743219448,141.881743219448,141.881743219448,150.655571966898,150.655571966898,150.655571966898,150.655571966898,151.894430183573,151.894430183573,151.894430183573,151.894430183573,151.894430183573,154.268123621354,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,155.158040450653,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.359083402902,157.422898730729,157.422898730729,160.42121080216,160.42121080216,160.42121080216
"8",127.402590652229,134.366756449919,134.366756449919,134.366756449919,137.435112536186,144.521035917569,144.521035917569,146.296293989755,146.842573668575,149.317278818227,149.322721678065,149.322721678065,149.322721678065,149.322721678065,149.322721678065,149.322721678065,149.322721678065,152.617872205097,152.617872205097,152.617872205097,152.617872205097,152.617872205097,152.617872205097,152.617872205097,156.756863580551,156.756863580551,156.756863580551,156.96517950343,156.96517950343,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587,158.641780367587
"9",135.046528923558,135.440104373731,135.440104373731,135.440104373731,135.440104373731,135.440104373731,137.763185077347,137.763185077347,138.92535585165,140.914166656556,147.975243572378,152.169129172573,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,157.376371091465,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,158.445921748644,159.356064323103,159.356064323103,160.480527659413,160.480527659413
"10",131.749547599116,131.749547599116,131.749547599116,131.749547599116,132.585074555827,133.969797225436,135.323863090016,135.323863090016,135.323863090016,145.683454255341,145.683454255341,145.683454255341,145.683454255341,145.683454255341,145.683454255341,149.556408035802,149.556408035802,149.556408035802,149.556408035802,149.556408035802,151.913693737006,151.913693737006,151.913693737006,151.913693737006,151.913693737006,151.913693737006,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,155.798403201625,156.861010160763,156.861010160763,156.861010160763,156.861010160763,156.861010160763
"11",125.18803397147,131.141430071788,131.141430071788,131.141430071788,131.141430071788,131.141430071788,132.920298116747,132.920298116747,132.920298116747,132.920298116747,132.920298116747,136.544310872676,136.544310872676,137.42613435653,141.845112375449,143.556091785664,143.556091785664,143.556091785664,143.556091785664,145.919719636673,145.919719636673,145.919719636673,145.919719636673,145.919719636673,145.919719636673,145.919719636673,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,151.812086388003,153.417389293201,153.417389293201,153.417389293201,153.417389293201,153.417389293201,153.417389293201
